FechayHora ; AlturaCeneha ; AlturaPrefectura
28/11/2017 00:00 ; 3.95 ; 3.91
29/11/2017 12:00 ; 3.94 ; 3.9
29/11/2017 00:00 ; 3.93 ; 3.91
30/11/2017 12:00 ; 3.91 ; 3.88
30/11/2017 00:00 ; 3.87 ; 3.9
01/12/2017 12:00 ; 3.9 ; 3.84
01/12/2017 00:00 ; 3.89 ; 3.88
02/12/2017 12:00 ; 3.87 ; 3.84
02/12/2017 00:00 ; 3.87 ; 3.84
03/12/2017 12:00 ; 3.83 ; 3.82
03/12/2017 00:00 ; 3.83 ; 3.84
04/12/2017 12:00 ; 3.84 ; 3.8
04/12/2017 00:00 ; 3.83 ; 3.8
05/12/2017 12:00 ; 3.82 ; 3.78
05/12/2017 00:00 ; 3.82 ; 3.8
06/12/2017 12:00 ; 3.82 ; 3.77
06/12/2017 00:00 ; 3.79 ; 3.78
07/12/2017 12:00 ; 3.83 ; 3.77
07/12/2017 00:00 ; 3.81 ; 3.77
08/12/2017 12:00 ; 3.81 ; 3.75
08/12/2017 00:00 ; 3.8 ; 3.75
09/12/2017 12:00 ; 3.82 ; 3.74
10/12/2017 12:00 ; 3.78 ; 3.74
10/12/2017 00:00 ; 3.77 ; 3.74
11/12/2017 12:00 ; 3.74 ; 3.72
11/12/2017 00:00 ; 3.74 ; 3.74
12/12/2017 12:00 ; 3.74 ; 3.71
12/12/2017 00:00 ; 3.72 ; 3.72
13/12/2017 12:00 ; 3.72 ; 3.67
13/12/2017 00:00 ; 3.71 ; 3.71
14/12/2017 12:00 ; 3.71 ; 3.68
14/12/2017 00:00 ; 3.7 ; 3.67
15/12/2017 12:00 ; 3.72 ; 3.65
15/12/2017 00:00 ; 3.7 ; 3.68
16/12/2017 12:00 ; 3.71 ; 3.65
16/12/2017 00:00 ; 3.69 ; 3.65
17/12/2017 12:00 ; 3.69 ; 3.65
17/12/2017 00:00 ; 3.69 ; 3.65
18/12/2017 12:00 ; 3.66 ; 3.65
18/12/2017 00:00 ; 3.68 ; 3.65
19/12/2017 12:00 ; 3.65 ; 3.63
19/12/2017 00:00 ; 3.66 ; 3.63
20/12/2017 12:00 ; 3.64 ; 3.62
20/12/2017 00:00 ; 3.64 ; 3.63
21/12/2017 12:00 ; 3.37 ; 3.59
21/12/2017 00:00 ; 3.62 ; 3.62
22/12/2017 12:00 ; 3.64 ; 3.58
22/12/2017 00:00 ; 3.59 ; 3.59
23/12/2017 12:00 ; 3.59 ; 3.58
23/12/2017 00:00 ; 3.54 ; 3.58
24/12/2017 12:00 ; 3.58 ; 3.58
24/12/2017 00:00 ; 3.6 ; 3.58
25/12/2017 12:00 ; 3.57 ; 3.58
25/12/2017 00:00 ; 3.57 ; 3.58
26/12/2017 12:00 ; 3.54 ; 3.53
26/12/2017 00:00 ; 3.53 ; 3.58
27/12/2017 12:00 ; 3.54 ; 3.5
27/12/2017 00:00 ; 3.5 ; 3.5
28/12/2017 12:00 ; 3.52 ; 3.48
28/12/2017 00:00 ; 3.22 ; 3.5
29/12/2017 12:00 ; 3.5 ; 3.48
29/12/2017 00:00 ; 3.48 ; 3.48
30/12/2017 12:00 ; 3.5 ; 3.44
30/12/2017 00:00 ; 3.47 ; 3.44
31/12/2017 12:00 ; 3.4 ; 3.4
31/12/2017 00:00 ; 3.46 ; 3.42
01/01/2018 12:00 ; 3.44 ; 3.4
01/01/2018 00:00 ; 3.42 ; 3.4
02/01/2018 12:00 ; 3.41 ; 3.38
02/01/2018 00:00 ; 3.4 ; 3.4
03/01/2018 12:00 ; 3.39 ; 3.38
03/01/2018 00:00 ; 3.39 ; 3.38
04/01/2018 12:00 ; 3.39 ; 3.34
04/01/2018 00:00 ; 3.44 ; 3.38
05/01/2018 12:00 ; 3.37 ; 3.32
05/01/2018 00:00 ; 3.37 ; 3.34
06/01/2018 12:00 ; 3.37 ; 3.34
06/01/2018 00:00 ; 3.36 ; 3.32
07/01/2018 12:00 ; 3.39 ; 3.34
07/01/2018 00:00 ; 3.35 ; 3.34
08/01/2018 12:00 ; 3.39 ; 3.34
08/01/2018 00:00 ; 3.36 ; 3.34
09/01/2018 12:00 ; 3.43 ; 3.36
09/01/2018 00:00 ; 3.38 ; 3.34
10/01/2018 12:00 ; 3.47 ; 3.4
10/01/2018 00:00 ; 3.42 ; 3.36
11/01/2018 12:00 ; 3.5 ; 3.42
11/01/2018 00:00 ; 3.46 ; 3.4
12/01/2018 12:00 ; 3.52 ; 3.45
12/01/2018 00:00 ; 3.49 ; 3.42
13/01/2018 12:00 ; 3.53 ; 3.48
13/01/2018 00:00 ; 3.51 ; 3.45
14/01/2018 12:00 ; 3.54 ; 3.48
14/01/2018 00:00 ; 3.52 ; 3.48
15/01/2018 12:00 ; 3.6 ; 3.54
15/01/2018 00:00 ; 3.56 ; 3.48
16/01/2018 12:00 ; 3.63 ; 3.58
16/01/2018 00:00 ; 3.59 ; 3.56
17/01/2018 12:00 ; 3.65 ; 3.6
17/01/2018 00:00 ; 3.64 ; 3.58
18/01/2018 12:00 ; 3.67 ; 3.62
18/01/2018 00:00 ; 3.63 ; 3.6
19/01/2018 12:00 ; 3.7 ; 3.64
19/01/2018 00:00 ; 3.67 ; 3.62
20/01/2018 12:00 ; 3.73 ; 3.66
20/01/2018 00:00 ; 3.69 ; 3.64
21/01/2018 12:00 ; 3.74 ; 3.68
21/01/2018 00:00 ; 3.72 ; 3.66
22/01/2018 12:00 ; 3.78 ; 3.71
22/01/2018 00:00 ; 3.73 ; 3.68
23/01/2018 00:00 ; 3.77 ; 3.71
24/01/2018 12:00 ; 3.82 ; 3.76
24/01/2018 00:00 ; 3.79 ; 3.73
25/01/2018 12:00 ; 3.85 ; 3.82
25/01/2018 00:00 ; 3.83 ; 3.76
26/01/2018 12:00 ; 3.89 ; 3.84
26/01/2018 00:00 ; 3.86 ; 3.82
27/01/2018 00:00 ; 3.9 ; 3.84
28/01/2018 12:00 ; 4 ; 3.93
28/01/2018 00:00 ; 3.96 ; 3.84
29/01/2018 12:00 ; 4.03 ; 3.93
29/01/2018 00:00 ; 3.99 ; 3.93
30/01/2018 12:00 ; 4.06 ; 4
30/01/2018 00:00 ; 4.03 ; 3.98
31/01/2018 12:00 ; 4.09 ; 4.04
31/01/2018 00:00 ; 4.06 ; 4
01/02/2018 12:00 ; 4.15 ; 4.04
01/02/2018 00:00 ; 4.11 ; 4.04
02/02/2018 12:00 ; 4.2 ; 4.12
02/02/2018 00:00 ; 4.15 ; 4.1
03/02/2018 12:00 ; 4.24 ; 4.15
03/02/2018 00:00 ; 4.19 ; 4.12
04/02/2018 12:00 ; 4.27 ; 4.18
04/02/2018 00:00 ; 4.23 ; 4.15
05/02/2018 12:00 ; 4.31 ; 4.23
05/02/2018 00:00 ; 4.27 ; 4.18
06/02/2018 12:00 ; 4.34 ; 4.26
06/02/2018 00:00 ; 4.3 ; 4.23
07/02/2018 12:00 ; 4.36 ; 4.29
07/02/2018 00:00 ; 4.33 ; 4.26
08/02/2018 12:00 ; 4.4 ; 4.33
08/02/2018 00:00 ; 4.36 ; 4.29
09/02/2018 12:00 ; 4.4 ; 4.35
09/02/2018 00:00 ; 4.4 ; 4.33
10/02/2018 12:00 ; 4.43 ; 4.37
10/02/2018 00:00 ; 4.41 ; 4.35
11/02/2018 12:00 ; 4.44 ; 4.4
11/02/2018 00:00 ; 4.44 ; 4.37
12/02/2018 12:00 ; 4.46 ; 4.44
12/02/2018 00:00 ; 4.44 ; 4.4
13/02/2018 12:00 ; 4.49 ; 4.44
13/02/2018 00:00 ; 4.46 ; 4.44
