FechayHora,Pegasus,Arduino
7/12/2016 6:00,0,0
7/12/2016 6:06,0.9,0
7/12/2016 6:12,0,0
7/12/2016 6:17,0,0
7/12/2016 6:23,0,0
7/12/2016 6:28,0,0
7/12/2016 6:34,0,0
7/12/2016 6:39,0,0
7/12/2016 6:45,0,0.38
7/12/2016 6:51,0,0.03
7/12/2016 6:56,0,0
7/12/2016 7:02,0,0
7/12/2016 7:07,0,0
7/12/2016 7:13,0.9,1
7/12/2016 7:19,0,1.79
7/12/2016 7:24,0,2.49
7/12/2016 7:30,4.9,1.38
7/12/2016 7:35,0,0
7/12/2016 7:41,0,0
7/12/2016 7:47,0.9,1.38
7/12/2016 7:52,0,1.08
7/12/2016 7:58,0.9,1
7/12/2016 8:03,0,0
7/12/2016 8:09,0,0
7/12/2016 8:15,0,0
7/12/2016 8:20,0,1.79
7/12/2016 8:26,0,0.03
7/12/2016 8:31,0,0.03
7/12/2016 8:37,0,0
7/12/2016 8:42,0,0
7/12/2016 8:48,0,0
7/12/2016 8:54,0,0.38
7/12/2016 8:59,0,1.79
7/12/2016 9:05,0,0
7/12/2016 9:10,0.9,1
7/12/2016 9:16,1.9,1.03
7/12/2016 9:22,1.9,2.08
7/12/2016 9:27,0.9,1
7/12/2016 9:33,0,1.43
7/12/2016 9:39,2.9,2.08
7/12/2016 9:44,2.9,2.08
7/12/2016 9:50,0,0.03
7/12/2016 9:55,7.8,2.08
7/12/2016 10:01,2.9,1
7/12/2016 10:07,1.9,2.43
7/12/2016 10:12,3.9,2.43
7/12/2016 10:18,0,0
7/12/2016 10:23,2.9,2.79
7/12/2016 10:29,0.9,2.43
7/12/2016 10:35,3.9,3.14
7/12/2016 10:40,2.9,1.03
7/12/2016 10:46,2.9,2.08
7/12/2016 10:52,0.9,3.49
7/12/2016 10:57,1.9,1
7/12/2016 11:03,4.9,3.49
7/12/2016 11:08,7.8,1.73
7/12/2016 11:14,0.9,3.14
7/12/2016 11:20,2.9,1.38
7/12/2016 11:25,0,2.84
7/12/2016 11:31,6.8,3.84
7/12/2016 11:36,0.9,3.49
